Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQuality_Class
1/18/2005,6:00:00,0.9,950,-200,3.5,680,181,936,106,914,1028,4.2,57.1,0.4743,1
9/30/2004,0:00:00,0.9,947,-200,5.7,798,108,869,79,1276,943,19.4,50.3,1.1201,1
4/2/2005,13:00:00,1.0,892,-200,2.4,614,137,986,95,843,408,20.5,21.9,0.5215,1
3/13/2005,21:00:00,1.0,1189,-200,6.6,837,323,665,172,1204,1208,14.6,51.6,0.8508,1
2/14/2005,6:00:00,0.7,995,-200,2.9,646,121,895,81,1053,818,6.9,70.0,0.6997,1
6/14/2004,21:00:00,1.0,851,-200,4.1,718,57,1134,67,1471,561,22.0,44.9,1.1699,1
7/10/2004,17:00:00,0.7,833,-200,5.5,786,48,1064,69,1328,453,31.8,18.7,0.8624,1
3/14/2004,7:00:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,1
4/1/2005,1:00:00,0.6,818,-200,1.0,497,53,1198,50,885,347,14.6,43.0,0.7108,1
8/8/2004,15:00:00,0.7,877,-200,3.0,655,27,1061,35,1471,444,33.0,37.3,1.8481,1
11/7/2004,12:00:00,1.0,838,-200,3.6,686,115,1083,61,1046,532,18.0,35.1,0.7176,1
3/23/2004,2:00:00,0.7,941,47,2.5,621,51,1298,70,1330,714,13.0,56.8,0.8444,1
10/28/2004,2:00:00,0.9,866,-200,4.4,734,109,899,45,1299,770,14.8,78.7,1.3169,1
12/7/2004,6:00:00,0.8,886,-200,2.8,641,146,1082,67,1098,783,14.1,60.6,0.9715,1
4/9/2004,5:00:00,0.9,-200,79,-200.0,-200,145,-200,84,-200,-200,-200.0,-200.0,-200.0,1
11/13/2004,22:00:00,0.8,793,-200,1.8,570,95,1143,59,1036,524,14.0,55.2,0.8807,1
9/5/2004,3:00:00,0.9,898,-200,4.2,721,-200,912,-200,1264,594,27.1,33.3,1.1762,1
1/22/2005,5:00:00,0.9,1331,-200,13.7,1106,497,568,144,1322,1383,5.7,80.5,0.7416,1
2/4/2005,6:00:00,0.7,989,-200,3.9,703,194,843,122,988,1017,1.8,74.5,0.5271,1
7/16/2004,1:00:00,1.0,886,-200,6.5,834,48,904,67,1440,767,23.8,36.9,1.0748,1
4/13/2004,0:00:00,0.7,893,48,2.0,587,46,1368,58,1219,433,10.7,58.2,0.7459,1
9/5/2004,16:00:00,0.8,823,-200,2.7,633,-200,1228,-200,1103,366,33.0,17.5,0.8683,1
3/20/2005,5:00:00,0.8,985,-200,2.4,610,87,851,69,1101,604,12.6,65.9,0.9583,1
12/1/2004,5:00:00,0.6,844,-200,2.5,618,100,2095,63,1064,757,8.3,80.4,0.8861,1
2/23/2005,2:00:00,0.8,899,-200,1.8,572,98,1063,87,951,560,3.9,78.7,0.643,1
7/14/2004,2:00:00,0.9,863,-200,6.3,824,65,905,70,1469,925,22.2,38.4,1.0126,1
10/28/2004,5:00:00,0.8,905,-200,5.2,776,163,851,48,1327,825,15.2,78.0,1.3382,1
4/3/2005,2:00:00,0.7,938,-200,2.7,631,99,882,77,931,679,12.0,44.2,0.6177,1
2/4/2005,4:00:00,0.8,949,-200,3.1,657,158,895,115,948,991,5.0,63.5,0.5575,1
11/8/2004,1:00:00,0.8,798,-200,2.5,621,109,1115,62,1041,524,10.6,61.3,0.7856,1
9/26/2004,11:00:00,1.0,844,-200,3.5,680,122,1147,61,1129,518,22.0,32.2,0.8407,1
7/25/2004,13:00:00,0.8,901,-200,2.9,646,37,1105,50,1446,488,29.1,40.8,1.6203,1
1/6/2005,7:00:00,0.7,961,-200,2.6,629,104,1011,69,1114,682,12.3,62.7,0.8947,1
5/20/2004,1:00:00,0.8,1046,-200,5.8,803,48,900,73,1490,823,18.0,53.0,1.0832,1
11/2/2004,5:00:00,0.6,802,-200,2.7,636,96,1016,35,1289,721,17.6,73.2,1.4555,1
2/28/2005,11:00:00,0.9,809,-200,2.0,587,200,1084,123,744,434,3.1,43.3,0.3354,1
1/24/2005,13:00:00,0.7,981,-200,5.8,804,191,829,127,997,783,10.7,37.2,0.4788,1
1/30/2005,16:00:00,1.0,845,-200,1.8,569,128,1151,95,709,397,7.9,25.9,0.2774,1
4/11/2004,5:00:00,0.7,836,38,2.9,643,38,1244,49,1306,727,7.7,70.7,0.7463,1
9/24/2004,21:00:00,0.7,795,-200,2.2,596,93,1227,57,1188,482,14.0,75.4,1.1988,1
3/18/2005,6:00:00,0.8,960,-200,3.3,668,184,841,106,1038,878,7.2,68.6,0.6978,1
3/24/2004,3:00:00,0.6,878,29,1.6,551,-200,1493,-200,1272,683,10.6,61.6,0.7856,1
6/13/2004,21:00:00,0.9,848,-200,3.6,689,65,1180,71,1403,520,20.1,45.2,1.0538,1
5/29/2004,10:00:00,0.7,862,-200,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878,1
12/13/2004,5:00:00,0.7,868,-200,1.8,567,91,1238,64,919,823,6.4,63.3,0.6123,1
12/15/2004,4:00:00,0.7,-200,-200,-200.0,-200,103,-200,61,-200,-200,-200.0,-200.0,-200.0,1
4/2/2005,22:00:00,0.7,891,-200,1.8,567,105,1031,79,881,418,13.1,41.3,0.6184,1
3/30/2004,2:00:00,0.7,900,32,1.7,563,46,1402,73,1130,618,10.5,42.9,0.5442,1
9/2/2004,3:00:00,0.6,832,-200,3.1,661,-200,977,-200,1312,766,22.7,51.3,1.3977,1
10/28/2004,5:00:00,0.8,905,-200,5.2,776,163,851,48,1327,825,15.2,78.0,1.3382,1
7/10/2004,17:00:00,0.7,833,-200,5.5,786,48,1064,69,1328,453,31.8,18.7,0.8624,1
10/9/2004,3:00:00,0.9,1061,-200,5.4,785,-200,766,-200,1447,935,21.0,64.4,1.5828,1
2/7/2005,3:00:00,0.6,861,-200,1.2,518,-200,1141,-200,738,482,3.9,39.9,0.325,1
5/13/2004,6:00:00,1.0,975,-200,4.5,736,86,1069,85,1459,611,15.9,55.3,0.991,1
7/10/2004,15:00:00,0.6,835,-200,4.4,731,39,1108,54,1323,438,33.1,18.3,0.9081,1
7/24/2004,4:00:00,0.7,989,-200,6.3,825,47,774,64,1602,1126,25.1,48.5,1.5266,1
3/28/2005,5:00:00,0.6,938,-200,1.9,575,97,955,63,1195,585,13.8,79.0,1.2425,1
4/3/2004,4:00:00,0.8,986,57,3.0,651,60,1145,74,1380,891,14.5,58.0,0.9488,1
6/12/2004,7:00:00,0.6,865,-200,4.8,752,65,996,64,1451,837,21.3,42.3,1.0625,1
7/25/2004,11:00:00,0.9,928,-200,3.6,687,48,1025,66,1491,528,27.6,43.7,1.5877,1
10/25/2004,5:00:00,0.9,940,-200,5.9,806,181,800,48,1392,1013,16.2,76.9,1.4029,1
10/30/2004,5:00:00,1.0,922,-200,5.4,783,192,857,76,1367,825,16.7,79.7,1.503,1
12/8/2004,5:00:00,1.0,893,-200,3.1,655,146,990,69,1097,816,12.0,71.9,1.003,1
4/29/2004,1:00:00,1.0,1042,84,5.2,772,51,923,61,1495,968,16.8,59.5,1.1269,1
12/18/2004,17:00:00,0.8,746,-200,3.5,684,149,1301,81,764,484,13.2,18.8,0.2837,1
2/21/2005,6:00:00,0.6,949,-200,2.1,589,77,987,63,1001,464,3.3,84.3,0.6617,1
2/28/2005,11:00:00,0.9,809,-200,2.0,587,200,1084,123,744,434,3.1,43.3,0.3354,1
7/10/2004,15:00:00,0.6,835,-200,4.4,731,39,1108,54,1323,438,33.1,18.3,0.9081,1
2/7/2005,23:00:00,0.9,923,-200,2.3,602,117,1028,98,831,599,7.2,39.3,0.4004,1
1/16/2005,15:00:00,0.7,833,-200,2.0,584,107,1144,80,821,463,11.3,32.5,0.4334,1
12/19/2004,9:00:00,1.0,868,-200,3.2,665,186,1067,99,865,800,3.2,55.7,0.4344,1
3/10/2005,6:00:00,0.9,984,-200,3.5,681,224,852,101,1020,970,5.3,73.2,0.6577,1
3/9/2005,2:00:00,1.0,973,-200,3.2,663,154,889,117,887,1014,4.6,53.5,0.4584,1
8/23/2004,14:00:00,0.9,843,-200,4.1,716,41,1005,53,1305,496,33.4,21.6,1.0927,1
2/13/2005,16:00:00,1.0,1052,-200,4.4,734,115,799,90,1109,588,19.4,32.4,0.7239,1
4/12/2004,10:00:00,1.0,1040,55,2.9,646,71,1210,78,1325,555,13.0,59.6,0.886,1
2/14/2005,3:00:00,0.7,968,-200,2.8,639,-200,891,-200,1080,794,8.4,67.1,0.7411,1
3/17/2005,6:00:00,0.6,953,-200,2.3,604,114,903,84,1020,838,9.0,64.3,0.7417,1
1/11/2005,4:00:00,0.7,992,-200,2.9,644,96,899,70,1128,854,11.8,70.6,0.9731,1
7/10/2004,18:00:00,0.8,859,-200,5.8,803,50,1032,67,1363,479,30.3,21.4,0.9064,1
3/27/2005,2:00:00,1.0,1008,-200,3.3,669,115,791,78,1241,894,16.6,63.0,1.1784,1
9/16/2004,1:00:00,0.8,911,-200,4.8,753,103,934,55,1496,865,21.9,67.1,1.7394,1
3/6/2005,9:00:00,0.7,877,-200,1.5,541,93,1148,79,829,399,7.3,48.7,0.5007,1
3/12/2005,18:00:00,0.9,1153,-200,8.3,910,285,622,156,1208,827,15.6,40.0,0.7018,1
3/24/2005,7:00:00,0.7,1073,-200,4.9,760,173,727,73,1128,1052,11.9,59.6,0.8294,1
10/29/2004,2:00:00,0.6,864,-200,2.5,621,65,1073,43,1286,574,18.4,73.8,1.5463,1
6/5/2004,21:00:00,0.6,841,-200,3.8,699,17,1123,30,1508,558,23.0,51.1,1.4175,1
9/23/2004,2:00:00,0.8,865,-200,3.7,694,61,989,49,1385,678,22.2,63.0,1.6673,1
11/7/2004,9:00:00,0.7,777,-200,1.9,580,100,1263,58,963,465,15.5,42.4,0.74,1
8/28/2004,1:00:00,0.7,-200,-200,-200.0,-200,41,-200,58,-200,-200,-200.0,-200.0,-200.0,1
2/6/2005,6:00:00,0.7,838,-200,1.3,531,95,1146,85,774,753,1.0,52.2,0.3489,1
2/22/2005,23:00:00,0.9,935,-200,2.6,628,126,995,111,986,611,4.4,77.1,0.6523,1
1/18/2005,2:00:00,1.0,925,-200,3.4,677,151,958,105,901,1024,3.2,58.8,0.4578,1
8/8/2004,5:00:00,0.6,815,-200,2.4,616,21,1080,29,1532,596,23.8,61.3,1.7881,1
1/2/2005,7:00:00,1.0,924,-200,2.6,629,143,994,83,941,852,3.1,68.7,0.5317,1
4/1/2005,1:00:00,0.6,818,-200,1.0,497,53,1198,50,885,347,14.6,43.0,0.7108,1
3/28/2005,2:00:00,1.0,1015,-200,2.8,640,144,821,92,1247,738,14.1,79.1,1.2665,1
3/15/2005,2:00:00,0.7,960,-200,2.0,582,90,933,69,1062,657,11.1,66.1,0.8738,1
3/13/2005,21:00:00,1.0,1189,-200,6.6,837,323,665,172,1204,1208,14.6,51.6,0.8508,1
5/11/2004,0:00:00,0.9,959,-200,6.0,812,77,961,78,1518,910,14.2,64.1,1.0346,1
1/16/2005,13:00:00,1.0,866,-200,3.0,652,143,1060,98,857,573,11.9,30.8,0.4285,1
11/17/2004,3:00:00,0.8,833,-200,1.9,574,-200,1150,-200,930,752,7.9,55.4,0.593,1
9/16/2004,1:00:00,0.8,911,-200,4.8,753,103,934,55,1496,865,21.9,67.1,1.7394,1
3/19/2005,6:00:00,0.7,959,-200,1.9,578,115,907,79,1079,546,11.8,67.1,0.9274,1
3/21/2004,6:00:00,0.7,947,-200,2.1,594,24,1300,36,1390,580,14.5,63.0,1.0316,1
3/12/2005,22:00:00,0.9,1087,-200,5.8,803,314,699,157,1130,907,11.6,54.7,0.7454,1
6/27/2004,15:00:00,0.7,842,-200,4.2,722,40,1163,54,1294,490,41.8,11.9,0.9476,1
8/8/2004,16:00:00,0.8,909,-200,3.6,690,29,1039,37,1488,474,35.1,32.1,1.7841,1
8/11/2004,5:00:00,0.7,941,-200,3.5,685,50,895,32,1632,834,25.9,63.6,2.102,1
5/29/2004,10:00:00,0.7,862,-200,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878,1
3/6/2005,8:00:00,0.6,867,-200,1.0,500,103,1219,86,818,387,5.9,54.8,0.5119,1
2/22/2005,0:00:00,0.8,931,-200,2.1,591,102,1015,89,1015,704,6.3,70.1,0.6733,1
4/1/2005,0:00:00,0.7,848,-200,1.5,541,69,1067,61,937,392,15.1,44.5,0.7569,1
7/24/2004,4:00:00,0.7,989,-200,6.3,825,47,774,64,1602,1126,25.1,48.5,1.5266,1
12/16/2004,5:00:00,1.0,-200,-200,-200.0,-200,149,-200,74,-200,-200,-200.0,-200.0,-200.0,1
3/16/2005,6:00:00,0.8,977,-200,3.3,673,179,830,99,1060,902,7.5,70.9,0.7358,1
5/7/2004,2:00:00,0.9,855,-200,3.3,669,46,1160,56,1427,671,13.7,69.4,1.0794,1
4/10/2004,3:00:00,1.0,922,65,3.6,687,-200,1142,-200,1390,825,11.1,69.3,0.9128,1
10/23/2004,5:00:00,0.7,925,-200,4.6,742,127,876,43,1381,842,18.1,72.1,1.4834,1
3/24/2004,6:00:00,0.8,954,32,1.7,561,43,1496,57,1255,612,10.8,57.2,0.7382,1
3/5/2005,7:00:00,0.8,872,-200,2.0,587,168,1082,132,866,655,4.6,54.6,0.4682,1
5/12/2004,2:00:00,0.8,966,-200,4.6,744,58,967,65,1511,935,15.6,63.9,1.1287,1
9/21/2004,5:00:00,0.6,869,-200,3.3,673,102,1033,53,1307,688,18.8,63.0,1.3582,1
11/7/2004,12:00:00,1.0,838,-200,3.6,686,115,1083,61,1046,532,18.0,35.1,0.7176,1
3/25/2005,6:00:00,0.6,980,-200,2.5,621,132,858,81,1190,692,13.7,78.0,1.2174,1
2/19/2005,4:00:00,0.9,931,-200,2.6,627,117,948,98,860,911,2.3,58.9,0.4317,1
8/1/2004,16:00:00,0.9,908,-200,4.7,748,69,1020,92,1373,451,39.7,19.1,1.3646,1
7/25/2004,12:00:00,0.8,905,-200,3.0,652,41,1076,54,1446,490,28.2,42.6,1.6062,1
12/2/2004,5:00:00,0.7,880,-200,2.4,610,101,2095,59,1150,711,12.0,78.0,1.094,1
12/20/2004,6:00:00,0.6,779,-200,0.7,466,46,1393,39,881,454,8.6,58.8,0.6603,1
2/5/2005,12:00:00,1.0,909,-200,3.4,678,180,960,128,838,652,9.2,34.5,0.4025,1
7/9/2004,2:00:00,1.0,1023,-200,6.2,822,65,823,74,1585,1050,27.9,41.6,1.5425,1
6/30/2004,5:00:00,0.7,952,-200,4.6,742,49,892,57,1656,953,24.6,59.1,1.8013,1
5/19/2004,1:00:00,0.7,940,-200,4.2,724,44,1012,68,1407,867,19.2,43.6,0.9591,1
8/10/2004,0:00:00,1.0,1035,-200,7.0,859,33,732,49,1680,996,27.4,55.0,1.9827,1
3/19/2005,3:00:00,1.0,1053,-200,2.9,648,125,808,94,1109,709,12.3,65.8,0.9374,1
11/30/2004,6:00:00,0.7,879,-200,1.9,575,110,1262,64,1111,537,11.5,81.4,1.1025,1
1/9/2005,8:00:00,0.6,944,-200,2.0,586,93,977,61,1090,586,13.1,63.4,0.9535,1
1/11/2005,3:00:00,0.9,982,-200,2.1,592,-200,953,-200,1106,830,13.1,65.7,0.9858,1
3/2/2005,0:00:00,0.9,790,-200,2.2,597,141,1184,102,637,465,0.2,30.2,0.191,1
4/25/2004,14:00:00,0.7,807,50,2.0,584,41,1488,44,1104,347,18.3,27.2,0.5675,1
3/29/2004,6:00:00,0.9,946,40,2.9,643,76,1309,75,1232,760,9.9,50.7,0.6167,1
9/27/2004,5:00:00,0.9,894,-200,5.6,794,179,889,71,1266,908,14.1,61.7,0.9844,1
9/26/2004,6:00:00,0.6,768,-200,3.3,671,79,1128,46,1153,700,13.6,57.6,0.8941,1
5/12/2004,2:00:00,0.8,966,-200,4.6,744,58,967,65,1511,935,15.6,63.9,1.1287,1
11/28/2004,5:00:00,0.9,858,-200,1.6,554,60,1207,45,1047,663,11.2,69.0,0.9159,1
3/10/2005,4:00:00,1.0,988,-200,3.3,673,165,838,94,1034,969,4.0,80.9,0.667,1
4/6/2004,1:00:00,0.8,978,66,2.7,635,36,1188,51,1382,579,15.9,57.0,1.0224,1
12/19/2004,3:00:00,1.0,879,-200,4.2,722,-200,1014,-200,878,873,6.3,44.7,0.4293,1
3/24/2005,2:00:00,0.9,1044,-200,3.8,702,165,746,109,1099,1101,15.3,49.2,0.8493,1
5/23/2004,14:00:00,0.8,924,-200,3.3,673,28,1247,36,1346,430,28.8,22.7,0.8864,1
11/9/2004,23:00:00,0.9,841,-200,3.5,680,-200,1052,-200,1067,594,6.5,85.6,0.8353,1
3/27/2005,15:00:00,0.9,1024,-200,2.7,630,106,862,66,1240,544,16.2,71.9,1.3171,1
3/27/2005,6:00:00,0.7,986,-200,2.3,602,96,878,61,1211,851,15.8,65.9,1.1792,1
3/26/2004,6:00:00,0.9,1005,64,4.0,713,103,1130,78,1363,924,8.0,71.8,0.7711,1
3/28/2005,5:00:00,0.6,938,-200,1.9,575,97,955,63,1195,585,13.8,79.0,1.2425,1
3/8/2005,6:00:00,0.7,927,-200,2.8,638,224,949,134,846,949,0.9,58.4,0.388,1
4/1/2005,22:00:00,0.8,835,-200,2.1,593,132,1072,99,793,408,13.2,31.8,0.4798,1
9/22/2004,4:00:00,0.6,878,-200,3.8,702,59,949,44,1373,822,18.3,70.8,1.4794,1
8/1/2004,10:00:00,0.9,1012,-200,5.8,804,53,832,48,1638,766,32.4,37.3,1.7808,1
1/22/2005,8:00:00,0.8,1390,-200,15.6,1167,588,522,196,1392,1619,6.3,78.8,0.7544,1
2/6/2005,9:00:00,0.8,870,-200,2.0,582,149,1091,115,791,737,0.3,53.7,0.3424,1
10/31/2004,3:00:00,1.0,918,-200,4.6,742,-200,905,-200,1386,720,19.9,68.4,1.5673,1
11/14/2004,16:00:00,0.6,738,-200,1.3,529,100,1991,59,876,383,9.6,44.2,0.5289,1
1/20/2005,7:00:00,1.0,909,-200,2.7,636,182,992,104,947,720,7.5,55.3,0.5734,1
7/3/2004,3:00:00,0.7,900,-200,4.7,750,-200,932,-200,1494,817,21.8,46.6,1.1991,1
1/22/2005,12:00:00,1.0,1432,-200,15.0,1150,547,527,204,1393,1818,14.0,52.0,0.8288,1
9/25/2004,9:00:00,1.0,867,-200,4.6,744,130,1067,52,1207,594,16.9,47.7,0.9142,1
7/4/2004,16:00:00,0.6,872,-200,4.0,708,39,1106,56,1331,489,38.9,15.6,1.0613,1
2/6/2005,5:00:00,0.8,854,-200,1.8,572,95,1070,88,788,793,1.2,51.9,0.3515,1
3/3/2005,4:00:00,1.0,1076,-200,4.1,715,179,783,119,947,1448,3.4,56.3,0.4455,1
9/26/2004,11:00:00,1.0,844,-200,3.5,680,122,1147,61,1129,518,22.0,32.2,0.8407,1
4/9/2004,5:00:00,0.9,-200,79,-200.0,-200,145,-200,84,-200,-200,-200.0,-200.0,-200.0,1
10/8/2004,5:00:00,0.9,981,-200,5.5,790,147,817,47,1390,898,18.2,70.1,1.4552,1
3/16/2005,2:00:00,0.9,1004,-200,2.9,646,166,823,111,1054,989,11.3,58.0,0.7742,1
8/14/2004,18:00:00,0.9,964,-200,5.1,769,40,873,56,1546,572,35.2,32.1,1.7898,1
10/29/2004,1:00:00,0.8,879,-200,2.9,645,83,1023,50,1288,612,18.2,74.7,1.5441,1
12/14/2004,3:00:00,1.0,918,-200,3.9,704,-200,920,-200,1032,932,8.0,70.6,0.7607,1
3/25/2004,2:00:00,0.7,902,38,1.8,568,38,1450,54,1253,479,9.1,68.1,0.789,1
11/3/2004,3:00:00,0.9,866,-200,4.1,717,-200,909,-200,1328,827,17.2,71.7,1.394,1
8/8/2004,18:00:00,1.0,926,-200,5.0,763,41,949,54,1491,504,33.8,32.1,1.6596,1
1/19/2005,1:00:00,1.0,1174,-200,6.7,842,273,723,127,1286,975,9.9,81.0,0.9885,1
3/9/2005,3:00:00,0.8,937,-200,2.2,600,-200,985,-200,873,885,4.7,53.1,0.4589,1
3/20/2005,14:00:00,0.9,988,-200,2.2,600,110,912,82,1033,415,21.3,35.6,0.8924,1
1/9/2005,8:00:00,0.6,944,-200,2.0,586,93,977,61,1090,586,13.1,63.4,0.9535,1
7/25/2004,17:00:00,0.8,911,-200,3.0,654,38,1102,51,1466,477,30.0,41.3,1.7259,1
10/29/2004,1:00:00,0.8,879,-200,2.9,645,83,1023,50,1288,612,18.2,74.7,1.5441,1
11/7/2004,10:00:00,0.7,774,-200,2.0,583,98,1246,57,966,457,16.6,38.2,0.7186,1
1/7/2005,7:00:00,1.0,965,-200,3.1,659,126,973,69,1059,739,6.4,76.3,0.7389,1
12/27/2004,4:00:00,0.7,877,-200,1.3,526,63,1171,55,1023,496,11.7,64.6,0.8888,1
4/1/2005,1:00:00,0.6,818,-200,1.0,497,53,1198,50,885,347,14.6,43.0,0.7108,1
7/10/2004,2:00:00,1.0,940,-200,6.7,845,57,845,70,1539,704,21.6,51.9,1.3254,1
12/18/2004,15:00:00,0.6,699,-200,2.4,613,115,1731,64,682,387,15.0,16.3,0.2749,1
6/10/2004,3:00:00,0.6,836,-200,4.0,709,-200,1085,-200,1498,646,20.7,56.1,1.3565,1
10/22/2004,3:00:00,0.7,917,-200,4.1,714,-200,870,-200,1355,843,20.8,67.3,1.6353,1
7/24/2004,15:00:00,0.9,972,-200,3.8,699,37,982,38,1505,495,37.3,28.8,1.8087,1
3/13/2004,5:00:00,1.0,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982,1
11/30/2004,6:00:00,0.7,879,-200,1.9,575,110,1262,64,1111,537,11.5,81.4,1.1025,1
11/17/2004,6:00:00,0.9,845,-200,2.0,583,138,1132,81,929,761,5.7,62.7,0.5801,1
3/30/2005,6:00:00,0.8,948,-200,3.8,702,146,801,78,1164,818,11.0,73.1,0.9554,1
3/31/2005,23:00:00,0.8,886,-200,2.1,589,83,975,69,1001,443,15.1,47.6,0.8139,1
12/16/2004,6:00:00,1.0,-200,-200,-200.0,-200,212,-200,81,-200,-200,-200.0,-200.0,-200.0,1
2/5/2005,17:00:00,0.9,900,-200,3.1,659,157,990,121,807,582,8.6,32.8,0.3669,1
3/2/2005,2:00:00,0.6,761,-200,1.3,525,79,1307,67,605,332,-0.1,31.9,0.1975,1
2/1/2005,5:00:00,0.9,1042,-200,3.8,701,208,795,114,945,1216,1.8,68.9,0.4878,1
7/4/2004,17:00:00,0.7,839,-200,4.8,752,52,1102,64,1298,515,37.9,12.7,0.8211,1
2/20/2005,11:00:00,1.0,996,-200,2.5,620,118,928,94,946,570,10.6,45.8,0.5838,1
4/29/2004,5:00:00,0.8,959,64,4.4,734,76,1038,57,1470,861,13.3,67.0,1.0203,1
5/29/2004,19:00:00,1.0,921,-200,7.0,856,98,1163,93,1437,681,21.7,32.2,0.825,1
3/29/2005,6:00:00,1.0,1031,-200,4.7,748,188,738,86,1245,890,12.9,71.8,1.0657,1
5/13/2004,6:00:00,1.0,975,-200,4.5,736,86,1069,85,1459,611,15.9,55.3,0.991,1
12/8/2004,7:00:00,1.0,950,-200,4.0,713,172,917,68,1139,841,11.8,71.4,0.9864,1
4/3/2005,14:00:00,1.0,933,-200,4.2,722,121,899,87,890,450,28.5,13.1,0.5002,1
3/30/2004,3:00:00,0.8,949,25,1.4,540,-200,1457,-200,1104,747,11.7,38.7,0.5298,1
3/25/2005,3:00:00,1.0,1106,-200,4.1,715,152,714,101,1279,949,13.9,80.4,1.2694,1
12/1/2004,6:00:00,0.9,927,-200,3.3,671,135,2009,74,1098,792,8.9,79.2,0.9067,1
11/17/2004,3:00:00,0.8,833,-200,1.9,574,-200,1150,-200,930,752,7.9,55.4,0.593,1
9/29/2004,1:00:00,0.9,872,-200,4.1,718,106,981,71,1223,872,16.3,56.8,1.047,1
4/12/2004,2:00:00,0.7,856,34,2.0,581,36,1448,54,1111,346,14.6,34.0,0.5605,1
2/28/2005,11:00:00,0.9,809,-200,2.0,587,200,1084,123,744,434,3.1,43.3,0.3354,1
8/11/2004,5:00:00,0.7,941,-200,3.5,685,50,895,32,1632,834,25.9,63.6,2.102,1
7/8/2004,5:00:00,0.6,986,-200,5.4,784,66,839,74,1503,1204,25.6,38.8,1.2545,1
7/11/2004,16:00:00,0.6,844,-200,4.7,751,46,1064,63,1327,462,33.0,17.7,0.8758,1
11/30/2004,5:00:00,0.6,840,-200,1.4,534,47,1268,38,1109,483,13.6,75.5,1.172,1
8/12/2004,14:00:00,1.0,949,-200,5.0,764,44,898,56,1579,573,35.9,32.1,1.8697,1
8/1/2004,16:00:00,0.9,908,-200,4.7,748,69,1020,92,1373,451,39.7,19.1,1.3646,1
10/22/2004,3:00:00,0.7,917,-200,4.1,714,-200,870,-200,1355,843,20.8,67.3,1.6353,1
11/13/2004,2:00:00,1.0,875,-200,2.7,635,117,1037,75,1133,612,15.7,59.5,1.0534,1
2/7/2005,7:00:00,0.8,963,-200,2.4,615,177,980,133,837,916,3.4,47.0,0.3713,1
1/29/2005,15:00:00,1.0,866,-200,2.2,602,121,1071,88,809,465,3.7,45.8,0.3697,1
9/26/2004,12:00:00,1.0,846,-200,3.6,688,127,1127,58,1138,518,22.7,30.2,0.8217,1
10/23/2004,5:00:00,0.7,925,-200,4.6,742,127,876,43,1381,842,18.1,72.1,1.4834,1
4/7/2004,1:00:00,0.7,889,49,2.3,603,35,1308,46,1271,455,15.6,44.9,0.792,1
3/9/2005,3:00:00,0.8,937,-200,2.2,600,-200,985,-200,873,885,4.7,53.1,0.4589,1
2/25/2005,4:00:00,1.0,1007,-200,3.4,677,116,863,97,1053,848,5.0,82.5,0.7265,1
2/23/2005,5:00:00,0.6,844,-200,0.7,466,77,1261,68,894,478,4.1,76.0,0.6304,1
7/25/2004,13:00:00,0.8,901,-200,2.9,646,37,1105,50,1446,488,29.1,40.8,1.6203,1
3/11/2004,1:00:00,1.0,1136,31,3.3,672,62,1453,76,1333,730,10.7,60.0,0.7702,1
3/28/2004,5:00:00,0.8,870,54,2.6,626,39,1325,52,1284,755,9.6,58.5,0.7,1
9/27/2004,5:00:00,0.9,894,-200,5.6,794,179,889,71,1266,908,14.1,61.7,0.9844,1
10/25/2004,3:00:00,0.7,874,-200,4.1,715,-200,889,-200,1315,858,15.4,79.0,1.3735,1
7/24/2004,14:00:00,0.8,960,-200,3.4,676,34,983,34,1488,488,35.4,32.4,1.837,1
12/18/2004,13:00:00,0.8,759,-200,3.8,699,140,1223,78,799,501,15.9,18.2,0.3255,1
8/7/2004,16:00:00,1.0,886,-200,5.8,803,51,939,68,1460,538,38.5,21.8,1.4653,1
3/23/2004,1:00:00,0.8,969,48,2.7,636,47,1271,64,1309,684,14.0,51.3,0.8163,1
4/11/2004,3:00:00,1.0,910,66,4.0,709,-200,1162,-200,1329,712,8.8,66.0,0.7501,1
2/22/2005,2:00:00,0.7,888,-200,1.1,511,71,1112,66,963,512,3.9,83.1,0.6787,1
5/2/2004,7:00:00,0.8,911,-200,4.8,751,48,1036,46,1518,817,14.3,66.2,1.0728,1
6/9/2004,1:00:00,1.0,934,-200,7.5,878,40,940,54,1644,847,22.5,49.0,1.3151,1
9/26/2004,9:00:00,0.9,810,-200,3.0,651,107,1170,55,1117,575,19.8,38.6,0.8831,1
7/22/2004,4:00:00,1.0,1015,-200,5.4,781,72,796,70,1595,1181,23.8,55.4,1.6073,1
4/14/2004,2:00:00,0.7,900,66,2.7,635,47,1207,60,1307,836,11.1,63.2,0.8331,1
11/13/2004,2:00:00,1.0,875,-200,2.7,635,117,1037,75,1133,612,15.7,59.5,1.0534,1
6/13/2004,3:00:00,0.6,906,-200,4.1,719,-200,1050,-200,1561,612,24.3,48.2,1.4476,1
